GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037123205,Census Tract 1232.05; Los Angeles County; California,956,39,38,66,0,748,987
1400000U,6037123206,Census Tract 1232.06; Los Angeles County; California,675,28,49,19,0,982,717
1400000U,6037123301,Census Tract 1233.01; Los Angeles County; California,1542,221,10,867,0,629,687
1400000U,6037123303,Census Tract 1233.03; Los Angeles County; California,1384,85,16,106,13,808,430
1400000U,6037123304,Census Tract 1233.04; Los Angeles County; California,2565,107,7,231,0,978,547
1400000U,6037123410,Census Tract 1234.10; Los Angeles County; California,1527,32,0,228,0,1305,377
1400000U,6037123420,Census Tract 1234.20; Los Angeles County; California,2475,122,16,221,0,1129,490
1400000U,6037123510,Census Tract 1235.10; Los Angeles County; California,2693,88,25,568,0,870,408
1400000U,6037123520,Census Tract 1235.20; Los Angeles County; California,1114,54,7,105,0,605,603
1400000U,6037123601,Census Tract 1236.01; Los Angeles County; California,3025,159,0,200,0,933,1181
1400000U,6037123602,Census Tract 1236.02; Los Angeles County; California,1831,100,0,120,0,427,621
1400000U,6037123700,Census Tract 1237; Los Angeles County; California,2119,564,22,169,0,231,722
1400000U,6037123800,Census Tract 1238; Los Angeles County; California,3751,65,32,285,0,639,780
1400000U,6037123901,Census Tract 1239.01; Los Angeles County; California,1742,307,16,161,0,952,1191
1400000U,6037123902,Census Tract 1239.02; Los Angeles County; California,1507,172,39,291,0,358,391
1400000U,6037124000,Census Tract 1240; Los Angeles County; California,3268,208,46,287,0,149,544
1400000U,6037124102,Census Tract 1241.02; Los Angeles County; California,1361,320,0,684,0,817,471
1400000U,6037124103,Census Tract 1241.03; Los Angeles County; California,808,34,14,216,0,559,260
1400000U,6037124104,Census Tract 1241.04; Los Angeles County; California,841,139,0,32,0,1007,758
1400000U,6037124105,Census Tract 1241.05; Los Angeles County; California,734,171,6,112,0,950,218
1400000U,6037124201,Census Tract 1242.01; Los Angeles County; California,1048,136,0,199,0,1390,672
1400000U,6037124203,Census Tract 1242.03; Los Angeles County; California,740,69,35,185,0,736,298
1400000U,6037124204,Census Tract 1242.04; Los Angeles County; California,972,168,15,101,0,667,614
1400000U,6037124300,Census Tract 1243; Los Angeles County; California,1466,83,24,224,0,904,393
1400000U,6037124400,Census Tract 1244; Los Angeles County; California,2992,15,0,130,0,497,836
1400000U,6037124500,Census Tract 1245; Los Angeles County; California,1673,135,0,189,0,215,516
1400000U,6037124600,Census Tract 1246; Los Angeles County; California,2183,22,0,159,0,87,398
1400000U,6037124700,Census Tract 1247; Los Angeles County; California,3816,490,24,278,14,130,499
1400000U,6037124902,Census Tract 1249.02; Los Angeles County; California,1506,338,0,485,0,365,435
1400000U,6037124903,Census Tract 1249.03; Los Angeles County; California,2190,570,12,261,35,198,698
1400000U,6037125101,Census Tract 1251.01; Los Angeles County; California,1966,654,82,513,0,555,695
1400000U,6037125102,Census Tract 1251.02; Los Angeles County; California,1460,184,0,88,0,66,255
1400000U,6037125200,Census Tract 1252; Los Angeles County; California,2606,324,23,209,0,576,465
1400000U,6037125310,Census Tract 1253.10; Los Angeles County; California,1829,876,0,356,0,558,551
1400000U,6037125321,Census Tract 1253.21; Los Angeles County; California,1927,139,0,395,0,210,169
1400000U,6037125322,Census Tract 1253.22; Los Angeles County; California,832,194,0,161,0,226,677
1400000U,6037125402,Census Tract 1254.02; Los Angeles County; California,2041,398,11,280,61,569,461
1400000U,6037125403,Census Tract 1254.03; Los Angeles County; California,1241,361,15,238,0,291,448
1400000U,6037125404,Census Tract 1254.04; Los Angeles County; California,1125,914,0,247,0,267,448
1400000U,6037125501,Census Tract 1255.01; Los Angeles County; California,1898,368,14,186,0,246,257
